orphacode,Prevalence,Inheritance,Age of onset,Synonym
98914,-,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",
98915,-,Autosomal recessive,"Infancy, Neonatal",
98908,<1 / 1 000 000,Autosomal recessive,Adult,Neutral lipid storage disease type M
98916,1-9 / 100 000,"Multigenic/multifactorial, Not applicable",All ages,AIDP
98918,-,"Multigenic/multifactorial, Not applicable",All ages,AMAN
98917,-,"Multigenic/multifactorial, Not applicable",All ages,AMSAN
98920,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive distal spinal muscular atrophy type 1
98919,1-9 / 1 000 000,"Multigenic/multifactorial, Not applicable",All ages,Cranial variant of GBS
98932,-, - ,,OBSOLETE: MSA-urinary dysfunction syndrome
98922,-, - ,,
98933,1-9 / 100 000,Not applicable,Adult,"MSA, parkinsonian type"
98938,-,"Autosomal dominant, Autosomal recessive","Antenatal, Neonatal",MAC
98934,<1 / 1 000 000,Autosomal dominant,Adult,HDL2
98941,-, - ,,
98942,-,Autosomal dominant,,
98945,-, - ,,
98943,-, - ,,
98944,-, - ,,
98947,-, - ,,Coloboma of optic papilla
98948,<1 / 1 000 000, - ,"Antenatal, Neonatal",
98946,-, - ,,
98955,<1 / 1 000 000,X-linked dominant,Childhood,Band-shaped and whorled microcystic dystrophy of the corneal epithelium
98950,<1 / 1 000 000, - ,"Antenatal, Neonatal",
98954,<1 / 1 000 000,Autosomal dominant,Childhood,Juvenile hereditary epithelial dystrophy of Meesmann
98957,1-9 / 1 000 000,Autosomal recessive,Childhood,GDCD
98956,-,Autosomal dominant,,Anterior basement membrane dystrophy
98951,-, - ,,
98949,<1 / 1 000 000, - ,"Antenatal, Neonatal",
98958,-, - ,,Honey-droplet corneal dystrophy
98960,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood",Anterior limiting membrane dystrophy type 2
98962,Unknown,Autosomal dominant,Childhood,Classic GCD
98961,<1 / 1 000 000,Autosomal dominant,Childhood,Corneal dystrophy of Bowman layer type 1
98964,Unknown,Autosomal dominant,All ages,Biber-Haab-Dimmer dystrophy
98963,Unknown,Autosomal dominant,Childhood,Avellino corneal dystrophy
98967,<1 / 1 000 000,Autosomal dominant,All ages,Crystalline stromal dystrophy
98968,-, - ,,
98959,<1 / 1 000 000,Autosomal dominant,Childhood,SMCD
98972,<1 / 1 000 000,Autosomal dominant,Childhood,CCDF
98974,Unknown,"Autosomal dominant, Multigenic/multifactorial, Not applicable",Adult,Endoepithelial corneal dystrophy
98971,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",PACD
98973,Unknown,Autosomal dominant,Childhood,PPCD
98970,<1 / 1 000 000,Autosomal dominant,All ages,FCD
98969,1-9 / 100 000,Autosomal recessive,All ages,Corneal dystrophy Groenouw type II
98975,-, - ,,Autosomal dominant CHED
98976,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable","Infancy, Neonatal",Buphthalmia
98979,-, - ,,
98983,-, - ,,
98980,-, - ,,
98978,-,Autosomal dominant,,
98984,-,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Dusty cataract
98985,-,Autosomal dominant,"Infancy, Neonatal",Early-onset cataract with Y-shaped suture opacities
98977,-,Autosomal dominant,"Adolescent, Childhood",
98981,-, - ,,
98986,-, - ,,
98988,-,Autosomal dominant,"Infancy, Neonatal",Early-onset anterior subcapsular cataract
98987,-, - ,,
98989,-,Autosomal dominant,Childhood,Blue-dot cataract
98991,-,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",
98990,-,Autosomal dominant,"Infancy, Neonatal",
98994,-,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",
98993,-,Autosomal dominant,"Infancy, Neonatal",
98992,-,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",
99000,Unknown,"Autosomal dominant, Not applicable",Adult,AOFMD
99001,-,Autosomal dominant,Adult,Butterfly-shaped pattern dystrophy
98995,-,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",
99002,-,"Autosomal recessive, Unknown",Adult,
99012,-, - ,,
99003,-,Autosomal dominant,Adult,Multifocal pattern dystrophy simulating Stargardt disease
99004,-, - ,,
99022,-, - ,,
99015,<1 / 1 000 000,X-linked recessive,Childhood,SPG2
99014,<1 / 1 000 000,X-linked recessive,"Childhood, Infancy",CMT5X
99013,Unknown,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood, Elderly",SPG7
99027,<1 / 1 000 000,Autosomal dominant,Adult,ADLD
99044,-, - ,,
99042,Unknown,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",Congenitally uncorrected transposition of the great vessels with coarctation
99043,-,Multigenic/multifactorial,,DORV with subaortic or doubly committed VSD with pulmonary stenosis
99045,-,Multigenic/multifactorial,,DORV with subpulmonary VSD
99047,-, - ,,
99048,-, - ,,"APV/PDA, non-Fallot type"
99050,Unknown, - ,"Infancy, Neonatal",Pulmonary artery coming from the aorta
99046,-,Multigenic/multifactorial,,DORV with non-committed subpulmonary VSD
99052,-, - ,,
99051,-, - ,,
99049,-, - ,,
99053,-, - ,,
99054,-, - ,,
99059,-, - ,,
99058,-, - ,,
99060,-, - ,,
99057,-, - ,,
99061,-, - ,,
99066,-, - ,,OBSOLETE: CAVC-left heart obstruction syndrome
99055,-, - ,,Congenital anomaly of tricuspid chordae tendineae
99064,-, - ,,
99063,<1 / 1 000 000, - ,"Adult, Childhood, Infancy, Neonatal",
99067,-,Autosomal dominant,,CAVC with ventricular hypoplasia
99068,-,"Autosomal dominant, Not applicable",,CAVC-tetralogy of Fallot
99056,-, - ,,
99070,-, - ,,
99062,-, - ,,
99069,-, - ,,
99071,-, - ,,
99072,-, - ,,
99075,-, - ,,
99077,-,Not applicable,,
99078,-, - ,,
99079,-, - ,,
99082,-, - ,,
99076,-, - ,,
99083,-, - ,,Unilateral Pulmonary Artery Hypoplasia
99085,-, - ,,
99086,-, - ,,
99081,-, - ,,
99088,-, - ,,
99087,-, - ,,COSA
99084,-, - ,,Branch pulmonary artery stenosis
99090,-, - ,,
99094,Unknown, - ,"Infancy, Neonatal",VSD with aortic insufficiency
99095,Unknown, - ,"Infancy, Neonatal",Left ventricular-to-right atrial communication
99089,-, - ,,
99096,-, - ,,
99097,-, - ,,
99092,-, - ,,
99098,-, - ,,Cor triatriatum dextrum
99100,-, - ,,Juxtaposition of the atrial auricles
99099,-, - ,,Cor triatriatum sinistrum
99101,-, - ,,Dilatation of the right atrial appendage
99102,-, - ,,Dilatation of the left auricle
99103,-,"Autosomal dominant, Not applicable","Antenatal, Infancy, Neonatal","ASD, ostium secundum type"
99104,-, - ,"Antenatal, Infancy, Neonatal","ASD, coronary sinus type"
99105,-,"Autosomal dominant, Not applicable","Antenatal, Infancy, Neonatal","ASD, sinus venosus type"
99107,-, - ,,
99108,-, - ,,
99106,-,"Autosomal dominant, Not applicable","Antenatal, Infancy, Neonatal","ASD, ostium primum type"
99114,-, - ,,Absence of the superior caval vein
99111,-, - ,,Persistent left SVC connecting to the roof of left-sided atrium
99112,-, - ,,Absence of brachiocephalic vein
99109,-, - ,,Persistent left SVC connecting through coronary sinus to left-sided atrium
99113,-, - ,,Subaortic course of brachiocephalic vein
99110,-, - ,,Right SVC connecting to left-sided atrium
99117,-, - ,,
99118,-, - ,,
99119,-, - ,,Right IVC connecting to left-sided atrium
99120,-, - ,,
99121,-, - ,,Azygos continuation of the IVC
99122,-, - ,,Congenital stenosis of the IVC
99125,1-9 / 100 000,Not applicable,Neonatal,
99124,-, - ,"Adolescent, Adult, Childhood, Infancy",
99123,-, - ,,IVC interruption
99126,-, - ,,Congenital PVA
99134,-, - ,,
99131,-,Not applicable,,
99129,-,Not applicable,,
99138,-,Autosomal dominant,,
99135,-, - ,,
99130,-,Not applicable,,
99139,-, - ,,
99141,<1 / 1 000 000,Autosomal recessive,Neonatal,
99143,-, - ,,
99146,-, - ,,
99142,-, - ,,
99151,-, - ,,
99166,-, - ,,
99170,-, - ,,
99147,Unknown,Not applicable,Adult,Acquired von Willebrand disease
99169,-, - ,,
99172,-,Unknown,Neonatal,
99171,-, - ,,
99176,-, - ,,
99177,-, - ,,
99179,-, - ,"Adolescent, Adult, Childhood",
99324,-, - ,"Antenatal, Neonatal",UPD(13)pat
99228,-,Not applicable,"Antenatal, Childhood, Infancy, Neonatal",
99226,-,Not applicable,"Antenatal, Childhood, Infancy, Neonatal",
99329,<1 / 1 000 000, - ,"Antenatal, Infancy, Neonatal",
99361,-,Autosomal dominant,,Hereditary isolated MTC
99330,<1 / 1 000 000, - ,"Antenatal, Infancy, Neonatal",
99408,-, - ,,
99645,-, - ,,
99413,-, - ,"Antenatal, Childhood, Infancy, Neonatal",
99647,-, - ,,Generalized enchondromatosis with platyspondyly
99642,Unknown, - ,"Adolescent, Adult, Childhood",
99648,-, - ,,
99429,1-9 / 1 000 000,X-linked recessive,All ages,CAIS
99646,Unknown,Not applicable,"Childhood, Infancy, Neonatal",MC-HGA
99651,-, - ,,
99649,-, - ,,
99650,-, - ,,
99654,-, - ,,OBSOLETE: FCPD
99662,-, - ,,
99664,-, - ,,
99663,-, - ,,
99657,Unknown,Autosomal recessive,Childhood,DYT2
99665,-, - ,,
99666,-, - ,,
99672,<1 / 1 000 000, - ,"Antenatal, Infancy, Neonatal",
99688,<1 / 1 000 000, - ,Neonatal,
99694,-, - ,,
99704,-,Autosomal dominant,,OBHD
99701,-, - ,"Adolescent, Adult, Childhood, Elderly, Infancy",MTLE-HS
99706,-, - ,,
99710,<1 / 1 000 000, - ,Childhood,
99715,-, - ,,Mitral valve-aorta-skeleton-skin syndrome
99722,-, - ,,
99723,-, - ,,
99718,<1 / 1 000 000,Mitochondrial inheritance,"Adolescent, Adult, Childhood, Infancy",LHON plus disease
99725,Unknown,"Autosomal dominant, X-linked dominant","Adolescent, Childhood, Infancy",Hypophyseal gigantism
99731,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",ISOD
99732,-, - ,,"Combined deficiency of sulfite oxidase, xanthine dehydrogenase and aldehyde oxidase"
99734,Unknown,Autosomal dominant,Childhood,Exercise-induced delayed-onset myotonia
99736,1-9 / 1 000 000,Autosomal dominant,Childhood,ACZ-responsive congenital myotonia
99735,Unknown,Autosomal dominant,Childhood,
99741,<1 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",Koussef-Nichols syndrome
99745,Unknown,Not applicable,All ages,Typhoid fever
99742,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",
99748,Unknown,Not applicable,All ages,Non-pneumonic Legionnaires' disease
99750,1-9 / 100 000, - ,"Adult, Elderly",Atypical PSP syndrome
99739,-,Autosomal dominant,,Rare familial disorder with hypertrophic obstructive cardiomyopathy
99756,-,Multigenic/multifactorial,,
99757,-,Multigenic/multifactorial,,
99764,-, - ,,OBSOLETE: Aldosterone synthase deficiency unrelated to CYP11B2
99749,<1 / 1 000 000,Autosomal recessive,Neonatal,Infantile agranulocytosis
99763,-, - ,,OBSOLETE: 18-hydroxylase deficiency
99771,Unknown,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",Bifidity of the uvula
99772,1-5 / 10 000,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",Cleft velum palatinum
99782,-, - ,,OBSOLETE: CCAL2
99777,-, - ,,
99781,-, - ,,OBSOLETE: CCAL1
99776,<1 / 1 000 000, - ,"Infancy, Neonatal",Mosaic trisomy chromosome 9
99791,<1 / 1 000 000,Autosomal dominant,,DD-II
99792,<1 / 1 000 000, - ,Infancy,
99796,-,"Autosomal recessive, Unknown, X-linked recessive",,Subcortical laminar heterotopia
99797,-, - ,,
99789,1-9 / 100 000,"Autosomal dominant, Autosomal recessive",Childhood,DD-I
99803,<1 / 1 000 000,"Autosomal dominant, Multigenic/multifactorial","Infancy, Neonatal",Congenital central alveolar hypoventilation-Hirschsprung disease syndrome
99802,Unknown,Not applicable,Infancy,Unilateral megalencephaly
99807,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
99812,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",DNA ligase IV deficiency
99806,<1 / 1 000 000, - ,Infancy,OOD
99798,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive",Childhood,Selective tooth agenesis
99819,-,Autosomal dominant,"Adolescent, Adult",
99817,-, - ,,
99818,-, - ,,
99824,Unknown, - ,All ages,LF
99811,-,X-linked recessive,All ages,
99810,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
99826,<1 / 1 000 000, - ,All ages,Green monkey disease
99825,<1 / 1 000 000, - ,All ages,Nipah fever
99829,Unknown, - ,All ages,Bronze John
99831,-, - ,,OBSOLETE: CVID due to an intrinsic T cell defect
99828,Unknown,Not applicable,All ages,DF
99842,1-9 / 1 000 000,Autosomal recessive,Childhood,LAD-I
99832,<1 / 1 000 000,Autosomal recessive,Infancy,Central hypothyroidism due to TRH receptor deficiency
99843,<1 / 1 000 000,Autosomal recessive,Childhood,CDG syndrome type IIc
99844,<1 / 1 000 000,Autosomal recessive,Childhood,LAD-1 variant
99845,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable",Childhood,
99849,<1 / 1 000 000,Autosomal recessive,Adult,GSD due to muscle beta-enolase deficiency
99846,<1 / 1 000 000,Autosomal dominant,No data available,
99827,Unknown, - ,All ages,CCHF
99852,<1 / 1 000 000,Autosomal recessive,Infancy,Progressive encephalopathy with severe infantile anorexia
99853,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",
99857,-, - ,Adult,
99854,-,Autosomal recessive,,
99859,-, - ,,
99864,-, - ,,
99856,-, - ,,Congenital syringomyelia
99858,-, - ,,
99861,-,Not applicable,"Adolescent, Adult",Precursor T-cell acute lymphoblastic leukemia/lymphoma
99860,-,Not applicable,Childhood,B-ALL
99865,Unknown,Unknown,"Adolescent, Adult",
99867,Unknown,Not applicable,Adult,
99866,-, - ,,
99868,Unknown,Not applicable,Adult,
99871,-, - ,,OBSOLETE: Chronic and localized Langerhans cell histiocytosis
99870,-, - ,,OBSOLETE: Acute and disseminated Langerhans cell histiocytosis
99872,-, - ,,OBSOLETE: Congenital Langerhans cell histiocytosis
99873,-, - ,,OBSOLETE: Multifocal eosinophilic granuloma
99869,Unknown,Not applicable,Adult,
99874,-, - ,,OBSOLETE: Pulmonary histiocytosis X
99875,-, - ,,OBSOLETE: EDS VIIA
99876,-, - ,,OBSOLETE: EDS VIIB
99878,-, - ,,OBSOLETE: Familial parathyroid hyperplasia
99879,Unknown,Autosomal dominant,Adult,FIHPT
99880,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",HPT-JT
99877,-, - ,,
99886,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Antenatal, Neonatal",TNDM
99885,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive","Antenatal, Infancy, Neonatal",Monogenic diabetes of infancy
99887,-,Not applicable,Childhood,DS-AMKL in children with trisomy 21
99888,-, - ,,
99893,-, - ,,OBSOLETE: Adrenocorticotropic hormone-independent Cushing syndrome
99889,Unknown,Not applicable,"Adult, Elderly",Adrenocorticotropic hormone secretion syndrome
99898,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",MSMD due to complete IFNgammaR1 deficiency
99892,Unknown, - ,,ACTH-dependent CS
99900,-, - ,,LCAD
99903,Unknown, - ,All ages,Sodoku
99905,Unknown, - ,All ages,
99906,-, - ,,
99901,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",ACAD9 deficiency
99907,-, - ,,
99908,-, - ,,OBSOLETE: Bird fancier lung
99909,-, - ,,
99912,Unknown,Unknown,Adolescent,Dysgerminoma of ovary
99914,-, - ,,
99913,-, - ,,
99916,-, - ,"Adolescent, Adult, Childhood, Elderly",Androblastoma
99915,-,Multigenic/multifactorial,"Adolescent, Adult, Elderly",Granulosa cell cancer
99917,-, - ,Adult,"Theca (steroid-producing) cell cancer, not further specified"
99919,Unknown,Not applicable,All ages,Staphylococcal TSS
99918,-,Not applicable,All ages,Streptococcal TSS
99920,-, - ,,
99922,-, - ,,
99921,-, - ,All ages,
99925,Unknown,Not applicable,Adult,
99926,Unknown,Not applicable,Adult,
99928,<1 / 1 000 000,Not applicable,Adult,PSST
99927,Unknown,"Autosomal recessive, Not applicable","Adolescent, Adult",Molar pregnancy
99930,-, - ,,
99932,-, - ,Infancy,Cow's milk-induced pulmonary hypersensitivity syndrome
99931,Unknown, - ,Childhood,
99933,-, - ,,
99934,-, - ,,
99935,-, - ,,
99937,-,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",CMT2C
99938,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",CMT2D
99939,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",CMT2E
99936,-,Autosomal dominant,"Adolescent, Adult",CMT2B
99941,-, - ,,CMT2G
99940,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Elderly",CMT2F
99943,-,Autosomal dominant,Adult,CMT2J
99942,-,Autosomal dominant,Adult,CMT2I
99944,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",CMT2K
99945,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",CMT2L
99946,<1 / 1 000 000,Autosomal dominant,Childhood,CMT2A1
99947,Unknown,Autosomal dominant,Childhood,CMT2A2
99948,Unknown,Autosomal recessive,"Infancy, Neonatal",CMT4A
99949,Unknown,Autosomal recessive,Childhood,CMT4C
99950,Unknown,Autosomal recessive,"Adolescent, Childhood",CMT4D
99951,-,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive congenital hypomyelinating neuropathy
99952,<1 / 1 000 000,Autosomal recessive,Childhood,CMT4F
99955,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CMT4B1
99954,<1 / 1 000 000,Autosomal recessive,Infancy,CMT4H
99953,Unknown,Autosomal recessive,"Adolescent, Childhood",CMT4G
99956,Unknown,Autosomal recessive,Childhood,CMT4B2
99961,-,Autosomal recessive,,BRIC type 2
99960,-,Autosomal recessive,,BRIC type 1
99965,-, - ,Adult,
99966,Unknown,Not applicable,"Antenatal, Childhood, Infancy, Neonatal",ATRT
99967,Unknown,Not applicable,Adult,MRCLS
99969,Unknown,Not applicable,Adult,PLS
99972,-, - ,,OBSOLETE: IgA1 deficiency
99973,-, - ,,OBSOLETE: IgA2 deficiency
99970,Unknown,Not applicable,Adult,DDLS
99971,Unknown,Not applicable,Adult,ALT
99977,1-9 / 100 000,"Multigenic/multifactorial, Not applicable","Adult, Elderly",ESCC
99974,-, - ,,
99985,-, - ,,
99978,1-9 / 100 000,Not applicable,Adult,Hilar cholangiocarcinoma
99981,1-9 / 100 000,Not applicable,"Infancy, Neonatal",
99986,-, - ,,
99976,1-9 / 100 000,Not applicable,"Adult, Elderly",Adenocarcinoma of the esophagus and the gastroesophageal junction
99983,-, - ,,
99987,-, - ,,
99990,-, - ,,Brill disease
99989,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Infancy, Neonatal","Developmental delay-epilepsy-neonatal diabetes syndrome, intermediate form"
99994,Unknown, - ,All ages,Causalgia
100001,-, - ,,
100003,-, - ,,
99991,-, - ,,
99995,-, - ,All ages,Algodystrophy
100006,<1 / 1 000 000,Autosomal dominant,Adult,"HCHWA, Dutch type"
100000,-, - ,,
100008,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",CST3-related amyloidosis
100002,-, - ,,Soft tissue perineurioma
100011,-, - ,"Antenatal, Neonatal",
100012,<1 / 1 000 000, - ,"Antenatal, Infancy, Neonatal",
100013,<1 / 1 000 000, - ,Neonatal,
100016,-, - ,"Antenatal, Neonatal",
100015,-, - ,"Antenatal, Neonatal",
100024,<1 / 1 000 000, - ,Adult,mu-HCD
100014,-, - ,"Antenatal, Neonatal",
100019,Unknown,Not applicable,Adult,RAEB-1
100020,Unknown,Not applicable,Adult,RAEB-2
100022,-, - ,,
100021,-, - ,,
100025,Unknown, - ,"Adolescent, Adult",Alpha-HCD
100026,<1 / 1 000 000, - ,Adult,Franklin disease
100033,-,"Autosomal recessive, X-linked dominant",,Amelogenesis imperfecta type 2
100039,-, - ,,
100034,-,Autosomal dominant,,Amelogenesis imperfecta type 4
100035,-, - ,,Hepatic solitary necrotic nodule
100041,-, - ,,
100032,-,"Autosomal dominant, Autosomal recessive",,Amelogenesis imperfecta type 3
100031,-,"Autosomal dominant, Autosomal recessive, X-linked dominant",,Amelogenesis imperfecta type 1
100040,-, - ,,
100043,<1 / 1 000 000,Autosomal dominant,Adult,CMTDIA
100045,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",CMTDIC
100044,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",CMTDIB
100046,<1 / 1 000 000,Autosomal dominant,Adult,CMTDID
100047,-, - ,,
100050,1-9 / 100 000,Autosomal dominant,All ages,HAE 1
100048,-, - ,,
100049,-, - ,,Primary ILD specific to childhood due to pulmonary surfactant protein anomalies
100051,Unknown,Autosomal dominant,All ages,HAE 2
100054,Unknown,Autosomal dominant,Adult,Inherited estrogen-associated angioneurotic edema
100056,-,Not applicable,Adult,Acquired angioneurotic edema type 1
100055,-,Not applicable,Adult,AAE 2
100057,Unknown,"Multigenic/multifactorial, Not applicable",Adult,ACEI-related acquired angioedema
100067,-, - ,,
100069,-,"Multigenic/multifactorial, Not applicable",Adult,Semantic primary progressive aphasia
100070,1-9 / 100 000,"Multigenic/multifactorial, Not applicable",Adult,Agramatic variant of PPA
100072,-, - ,,
100073,Unknown,Not applicable,All ages,NTOS
100075,1-9 / 100 000,Not applicable,"Adult, Elderly",Gastric NET
100071,<1 / 1 000 000, - ,"Antenatal, Neonatal",Trisomy 3 mosaicism
100076,-, - ,,
100078,-,Not applicable,Adult,Ileal neuroendocrine neoplasm
100077,-, - ,Adult,Jejunal neuroendocrine neoplasm
100080,-, - ,"Adult, Elderly",Neuroendocrine neoplasm of the colon
100082,-, - ,"Adult, Elderly",NET of anal canal
100081,-, - ,Adult,NET of the rectum
100079,-, - ,Adult,NEN of appendix
100083,-, - ,Adult,
100084,-, - ,"Adolescent, Adult, Elderly",
100085,Unknown,Not applicable,Adult,
100086,-, - ,Adult,
100087,-, - ,,
100093,-,Not applicable,All ages,Malignant carcinoid syndrome
100088,1-5 / 10 000, - ,Adult,
100092,-, - ,,GEP-NEN
100091,-, - ,,
100094,-, - ,,
100090,-, - ,,
100100,-, - ,,
100642,-, - ,,
100932,-, - ,,
100924,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",ALAD porphyria
100101,-, - ,,
100974,Unknown,Unknown,"Antenatal, Infancy, Neonatal",
100976,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",BSI
100981,-,Autosomal recessive,,Autosomal recessive complex HSP
100978,<1 / 1 000 000, - ,Neonatal,Benallegue-Lacete syndrome
100973,1-9 / 1 000 000,X-linked recessive,"Antenatal, Infancy, Neonatal",Intellectual disability associated with fragile site FRAXE
100979,1-9 / 100 000,Autosomal dominant,,Autosomal dominant complex HSP
100984,1-9 / 1 000 000,Autosomal dominant,"Adult, Childhood",Strümpell disease
100982,-,Autosomal recessive,,Autosomal recessive pure HSP
100980,1-9 / 100 000,Autosomal dominant,,Autosomal dominant pure HSP
100985,-,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",SPG4
100986,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",SPG5A
100990,-, - ,,OBSOLETE: SPG9
100989,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",SPG8
100993,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",SPG12
100988,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",SPG6
100994,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",SPG13
100991,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",SPG10
100995,<1 / 1 000 000,Autosomal recessive,Adult,SPG14
100996,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Hereditary spastic paraparesis type 15
100998,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",SPG17
101004,<1 / 1 000 000,Autosomal recessive,Infancy,SPG24
100999,<1 / 1 000 000,Autosomal dominant,Adult,SPG19
101001,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Mast syndrome
101003,<1 / 1 000 000,Autosomal recessive,Childhood,Lison syndrome
101006,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",GM2 synthase deficiency
101007,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult",SPG27
101009,<1 / 1 000 000,Autosomal dominant,Adolescent,SPG29
100997,<1 / 1 000 000,X-linked recessive,Infancy,SPG16
101000,<1 / 1 000 000,Autosomal recessive,Infancy,Childhood-onset spastic paraparesis-distal muscle wasting syndrome
101008,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood, Infancy",SPG28
101011,Unknown,Autosomal dominant,Childhood,SPG31
101010,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult",SPG30
101005,<1 / 1 000 000,Autosomal recessive,Adult,Autosomal recessive spastic paraplegia-disc herniation syndrome
101022,-, - ,,
101023,-, - ,,
101029,-, - ,"Antenatal, Infancy, Neonatal",
101033,-, - ,,
101016,1-5 / 10 000,"Autosomal dominant, Autosomal recessive",All ages,Romano-Ward long QT syndrome
101036,-, - ,,
101028,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",TALDO deficiency
101030,-, - ,"Antenatal, Infancy, Neonatal",
101042,-, - ,,
101039,<1 / 1 000 000,Unknown,"Antenatal, Infancy, Neonatal",Juberg-Hellman syndrome
101046,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood",Autosomal dominant epilepsy with auditory features
101052,-, - ,,
101050,-,Autosomal dominant,,FHH type 3
101049,-,Autosomal dominant,,FHH type 2
101043,-, - ,,
101063,-,"Autosomal dominant, Autosomal recessive, Not applicable",,Complete situs inversus
101041,Unknown,Autosomal dominant,All ages,
101068,<1 / 1 000 000,Autosomal dominant,Neonatal,CSCD
101071,-, - ,"Antenatal, Infancy, Neonatal",
101076,<1 / 1 000 000,X-linked recessive,"Childhood, Infancy",CMTX2
101077,<1 / 1 000 000,X-linked recessive,"Adolescent, Childhood",CMT3X
101078,<1 / 1 000 000,X-linked recessive,"Childhood, Infancy, Neonatal",CMT4X
101081,1-5 / 10 000,Autosomal dominant,Childhood,CMT1A
101070,-,Autosomal recessive,"Antenatal, Infancy, Neonatal",
101082,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",CMT1B
101075,Unknown,X-linked dominant,Childhood,CMT1X
101083,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",CMT1C
101084,-,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",CMT1D
101088,-,X-linked recessive,,HIGM1
101085,Unknown,Autosomal dominant,"Childhood, Infancy",CMT1F
101090,-,Autosomal recessive,,HIGM3
101096,-, - ,,
101089,-,Autosomal recessive,,AID deficiency
101092,-,Autosomal recessive,,HIGM5
101097,Unknown,Autosomal recessive,"Infancy, Neonatal",ARCMT2K
101102,<1 / 1 000 000,Autosomal recessive,Childhood,CMT2H
101101,<1 / 1 000 000,Autosomal recessive,Adult,AR-CMT2B2
101104,-, - ,,
101107,-, - ,,SCA22
101106,-, - ,,
101091,-, - ,,HIGM4
101108,<1 / 1 000 000,Autosomal dominant,Adult,SCA23
101109,Unknown,Autosomal dominant,Childhood,SCA28
101110,<1 / 1 000 000,Autosomal dominant,Adult,SCA20
